Prompt,Answer,Extra,Category,Decimal,ProperNameRelaxed,StrictRecognition,FullCartoucheWords,AbbreviatedCartoucheWords,HashAbbreviation,Tags
This costs 12 dollars,mani pi ijo ni li nanpa Newatun.,Translate the context using the preferred relaxed nanpa-linja-n form.,06 Context examples,12,Newatun,,[nanpa en wan ala tu uta nanpa],[nanpa wan tu nanpa],#~WT,context direction::english-to-toki-pona
mani pi ijo ni li nanpa Newatun.,This costs 12 dollars,Recognise the encoded decimal information in context.,06 Context examples,12,Newatun,,[nanpa en wan ala tu uta nanpa],[nanpa wan tu nanpa],#~WT,context direction::toki-pona-to-english
The total is 3.75,mani ale li nanpa Nesen One Mulun.,Translate the context using the preferred relaxed nanpa-linja-n form.,06 Context examples,3.75,Nesen One Mulun,,[nanpa en seli en nena o nena en mun uta luka uta nanpa],[nanpa seli o mun luka nanpa],#~SoML,context direction::english-to-toki-pona
mani ale li nanpa Nesen One Mulun.,The total is 3.75,Recognise the encoded decimal information in context.,06 Context examples,3.75,Nesen One Mulun,,[nanpa en seli en nena o nena en mun uta luka uta nanpa],[nanpa seli o mun luka nanpa],#~SoML,context direction::toki-pona-to-english
Length: 2.5 m,linja ni li suli Netun One Lun mije.,Translate the context using the preferred relaxed nanpa-linja-n form.,06 Context examples,2.5,Netun One Lun,,[nanpa en tu uta nena o nena en luka uta nanpa],[nanpa tu o luka nanpa],#~ToL,context direction::english-to-toki-pona
linja ni li suli Netun One Lun mije.,Length: 2.5 m,Recognise the encoded decimal information in context.,06 Context examples,2.5,Netun One Lun,,[nanpa en tu uta nena o nena en luka uta nanpa],[nanpa tu o luka nanpa],#~ToL,context direction::toki-pona-to-english
Weight: 0.75 kg,kiwen ni li walo Nenin One Mulun kilokilo.,Translate the context using the preferred relaxed nanpa-linja-n form.,06 Context examples,0.75,Nenin One Mulun,,[nanpa en nena ijo nena o nena en mun uta luka uta nanpa],[nanpa ijo o mun luka nanpa],#~IoML,context direction::english-to-toki-pona
kiwen ni li walo Nenin One Mulun kilokilo.,Weight: 0.75 kg,Recognise the encoded decimal information in context.,06 Context examples,0.75,Nenin One Mulun,,[nanpa en nena ijo nena o nena en mun uta luka uta nanpa],[nanpa ijo o mun luka nanpa],#~IoML,context direction::toki-pona-to-english
Today it is 18 degrees,tenpo suno ni li seli Newapin.,Translate the context using the preferred relaxed nanpa-linja-n form.,06 Context examples,18,Newapin,,[nanpa en wan ala pipi ike nanpa],[nanpa wan pipi nanpa],#~WP,context direction::english-to-toki-pona
tenpo suno ni li seli Newapin.,Today it is 18 degrees,Recognise the encoded decimal information in context.,06 Context examples,18,Newapin,,[nanpa en wan ala pipi ike nanpa],[nanpa wan pipi nanpa],#~WP,context direction::toki-pona-to-english
Minus 3 degrees,tenpo suno ni li seli Neno Sen.,Translate the context using the preferred relaxed nanpa-linja-n form.,06 Context examples,-3,Neno Sen,,[nanpa en nena ona seli en nanpa],[nanpa ona seli nanpa],#~oS,context direction::english-to-toki-pona
tenpo suno ni li seli Neno Sen.,Minus 3 degrees,Recognise the encoded decimal information in context.,06 Context examples,-3,Neno Sen,,[nanpa en nena ona seli en nanpa],[nanpa ona seli nanpa],#~oS,context direction::toki-pona-to-english
The city is 12 km away,tomo tawa li weka Newatun kilometo tan ni.,Translate the context using the preferred relaxed nanpa-linja-n form.,06 Context examples,12,Newatun,,[nanpa en wan ala tu uta nanpa],[nanpa wan tu nanpa],#~WT,context direction::english-to-toki-pona
tomo tawa li weka Newatun kilometo tan ni.,The city is 12 km away,Recognise the encoded decimal information in context.,06 Context examples,12,Newatun,,[nanpa en wan ala tu uta nanpa],[nanpa wan tu nanpa],#~WT,context direction::toki-pona-to-english
The car is moving at 57 km/h,tomo tawa li tawa kepeken wawa Nelumun kilometo lon tenpo wan.,Translate the context using the preferred relaxed nanpa-linja-n form.,06 Context examples,57,Nelumun,,[nanpa en luka uta mun uta nanpa],[nanpa luka mun nanpa],#~LM,context direction::english-to-toki-pona
tomo tawa li tawa kepeken wawa Nelumun kilometo lon tenpo wan.,The car is moving at 57 km/h,Recognise the encoded decimal information in context.,06 Context examples,57,Nelumun,,[nanpa en luka uta mun uta nanpa],[nanpa luka mun nanpa],#~LM,context direction::toki-pona-to-english
I have 23 apples,mi jo e kili nanpa Netusen.,Translate the context using the preferred relaxed nanpa-linja-n form.,06 Context examples,23,Netusen,,[nanpa en tu uta seli en nanpa],[nanpa tu seli nanpa],#~TS,context direction::english-to-toki-pona
mi jo e kili nanpa Netusen.,I have 23 apples,Recognise the encoded decimal information in context.,06 Context examples,23,Netusen,,[nanpa en tu uta seli en nanpa],[nanpa tu seli nanpa],#~TS,context direction::toki-pona-to-english
There are 100 people here,jan li nanpa Newan Inin lon ni.,Translate the context using the preferred relaxed nanpa-linja-n form.,06 Context examples,100,Newan Inin,,[nanpa en wan ala nena ijo nena ijo nanpa],[nanpa wan ijo ijo nanpa],#~WII,context direction::english-to-toki-pona
jan li nanpa Newan Inin lon ni.,There are 100 people here,Recognise the encoded decimal information in context.,06 Context examples,100,Newan Inin,,[nanpa en wan ala nena ijo nena ijo nanpa],[nanpa wan ijo ijo nanpa],#~WII,context direction::toki-pona-to-english
My telephone number is 243-555-0189,nanpa pi ilo toki mi li: Netunasen Ene Lululun Ene Niwapijen.,Translate the context using the preferred relaxed nanpa-linja-n form.,06 Context examples,243-555-0189,Netunasen Ene Lululun Ene Niwapijen,,[nanpa en tu uta nena awen seli en nena en nena en luka uta luka uta luka uta nena en nena en nena ijo wan ala pipi ike jo en nanpa],[nanpa tu awen seli en luka luka luka en ijo wan pipi jo nanpa],#~TASLLLIWPJ,context direction::english-to-toki-pona
nanpa pi ilo toki mi li: Netunasen Ene Lululun Ene Niwapijen.,My telephone number is 243-555-0189,Recognise the encoded decimal information in context.,06 Context examples,243-555-0189,Netunasen Ene Lululun Ene Niwapijen,,[nanpa en tu uta nena awen seli en nena en nena en luka uta luka uta luka uta nena en nena en nena ijo wan ala pipi ike jo en nanpa],[nanpa tu awen seli en luka luka luka en ijo wan pipi jo nanpa],#~TASLLLIWPJ,context direction::toki-pona-to-english
Train arrives at 19:48,tomo tawa li kama lon tenpo Newajen Eke Napin.,Translate the context using the preferred relaxed nanpa-linja-n form.,06 Context examples,19:48,Newajen Eke Napin,,[nanpa en wan ala jo en nena en kasi en nena awen pipi ike nanpa],[nanpa wan jo kasi awen pipi nanpa],#~WJkAP,context direction::english-to-toki-pona
tomo tawa li kama lon tenpo Newajen Eke Napin.,Train arrives at 19:48,Recognise the encoded decimal information in context.,06 Context examples,19:48,Newajen Eke Napin,,[nanpa en wan ala jo en nena en kasi en nena awen pipi ike nanpa],[nanpa wan jo kasi awen pipi nanpa],#~WJkAP,context direction::toki-pona-to-english
Add 250 ml of water,o pana e telo nanpa Netulunin mililita.,Translate the context using the preferred relaxed nanpa-linja-n form.,06 Context examples,250,Netulunin,,[nanpa en tu uta luka uta nena ijo nanpa],[nanpa tu luka ijo nanpa],#~TLI,context direction::english-to-toki-pona
o pana e telo nanpa Netulunin mililita.,Add 250 ml of water,Recognise the encoded decimal information in context.,06 Context examples,250,Netulunin,,[nanpa en tu uta luka uta nena ijo nanpa],[nanpa tu luka ijo nanpa],#~TLI,context direction::toki-pona-to-english
3/4 is 0.75,nanpa la Nesen Ono Nan sama Nenin One Mulun.,Current relaxed-mode example.,07 Additional examples,,,,,,,example topic::arithmetic
17.3 + 9.5 = 26.8,nanpa la Newamun One Sen en Nejen One Lun sama Netunun One Pin.,Current relaxed-mode example.,07 Additional examples,,,,,,,example topic::arithmetic
12 × 5 = 60,nanpa la Newatun lete Nelun sama Nenunin.,Current relaxed-mode example.,07 Additional examples,,,,,,,example topic::arithmetic
27 × 0 = 0,nanpa la Netumun lete Nenin sama Nenin.,Current relaxed-mode example.,07 Additional examples,,,,,,,example topic::arithmetic
Room 204,tomo ni li tomo nanpa Netuninan.,Current relaxed-mode example.,07 Additional examples,204,Netuninan,,[nanpa en tu uta nena ijo nena awen nanpa],[nanpa tu ijo awen nanpa],#~TIA,example topic::identifier
Your ID number is 40251,nanpa sona sina li nanpa Nenanituluwan.,Current relaxed-mode example.,07 Additional examples,40251,Nenanituluwan,,[nanpa en nena awen nena ijo tu uta luka uta wan ala nanpa],[nanpa awen ijo tu luka wan nanpa],#~AITLW,example topic::identifier
007,Neninimun,Current relaxed-mode example.,07 Additional examples,007,Neninimun,,[nanpa en nena ijo nena ijo mun uta nanpa],[nanpa ijo ijo mun nanpa],#~IIM,example topic::identifier
Call 731!,o tawa nanpa Nemusewan!,Current relaxed-mode example.,07 Additional examples,731,Nemusewan,,[nanpa en mun uta seli en wan ala nanpa],[nanpa mun seli wan nanpa],#~MSW,example topic::identifier
